PRD,CA Osasuna vs Deportivo Alaves,2ND HALF UNDER 2.5,N/A,--:--,,2024-03-04,,N/A,xunnkgid306192181,protips_acca,No
SEA,Inter vs Genoa CFC,HOME TO WIN EITHER HALF,N/A,--:--,,2024-03-04,,N/A,gzvjbasg87897607,protips_acca,yes
TUR,Alanyaspor vs Trabzonspor,Handicap: 2 (0 : 2),N/A,--:--,,2024-03-04,,N/A,iikirewl46907185,protips_acca,yes
LaL,Elche CF vs AD Alcorcon,1X,N/A,--:--,,2024-03-04,,N/A,xnatbfbx183147847,protips_acca,yes
NET,FC Den Bosch vs FC Groningen,X2,N/A,--:--,,2024-03-04,,N/A,nupjirsk67090473,protips_acca,yes
ISR,Hapoel Be`er Sheva FC vs Beitar Jerusalem FC,1X,N/A,--:--,,2024-03-04,,N/A,twcmhnmd229578171,protips_acca,yes
BUL,FK Hebar Pazardzhik vs PFC Levski Sofia,X2,N/A,--:--,,2024-03-04,,N/A,jviaafwh50617155,protips_acca,yes
BEL,Royal Antwerp FC vs St. Truidense VV,1X,N/A,N/A, 3 - 0,2024-03-03,,Won,vqpmbezm290947294,protips_acca,No
GER,Hamburg vs VfL 1899 Osnabruck,OVER 2.5,N/A,N/A, 1 - 2,2024-03-03,,Won,aomxjvpo99970808,protips_acca,No
ROM,Universitatea Cluj vs Botosani,1 DNB,N/A,N/A, 1 - 0,2024-03-03,,Won,htzjhcgl140239881,protips_acca,No
ETH,Ethiopian Coffee SC vs Sidama Bunna SC,1 DNB,N/A,N/A, 3 - 0,2024-03-03,,Won,bqankozv309971272,protips_acca,No
AUS,Sturm Graz vs Wolfsberger,1X,N/A,N/A, 4 - 0,2024-03-03,,Won,lmbixpve93732580,protips_acca,No
PRD,Villarreal vs Granada,1X,N/A,N/A, 5 - 1,2024-03-03,,Won,rzlwgcga105915574,protips_acca,No
FB,Cologne vs Bayer Leverkusen,2,N/A,N/A, 0 - 2,2024-03-03,,Won,sunnqhcj302942195,protips_acca,No
